회사명,상장일,시장구분,재분류,기존분류,대표주관회사,산업분류,확정공모가,공모금액_억원,시가총액_억원,기관경쟁률,확약비율,수익률_1M,수익률_6M,수익률_1Y,근거문구
옵티팜,2018-10-26,코스닥,기술평가특례,기술특례,엔에이치투자증권(주),바이오/헬스케어,10000,294.59,2200.0,94.57,11.6,1.0,20.0,-3.5,"성장특례를 적용받은 기업으로서 일반기업에 비해 완화된 상장심사요건을 적용 받았으며, 기술보증기금과 나이스디앤비로부터 'KRX 기술평가등급 A, BBB'를 득하였습니다. 당사는 현재 보유하고 있는 이종장기 기술 및 V"
셀리버리,2018-11-09,코스닥,성장성/사업모델,기술특례(성장성),DB증권주식회사,바이오/헬스케어,25000,285.0,2850.0,698.98,16.8,4.4,144.0,64.6,당사는 코스닥시장 상장요건 중 상장주선인이 성장성을 평가하여 추천한 중소기업 에 해당하는
티앤알바이오팹,2018-11-28,코스닥,기술평가특례,기술특례,키움증권(주),바이오/헬스케어,18000,216.0,1533.63,101.9,1.0,-53.0,0.3,-44.2,"를 적용받은 기업으로서 일반기업에 비해 완화된 상장심사요건을 적용 받았으며, 한국기업데이터와 나이스디앤비로부터 각각 'KRX 기술평가등급 A, A'를 득하였습니다. 당사는 현재 보유하고 있는 3D 바이오프린팅 플랫폼"
전진바이오팜,2018-12-14,코스닥,기술평가특례,기술특례,미래에셋증권 주식회사,화학/소재,10000,50.0,500.0,14.69,27.2,-2.0,50.5,-27.5,평가기관(2개 기관)으로부터 기술평가를 받은 바 있습니다. 이와 관련하여 당사는 이크레더블과 나이스평가정보로부터 각각 KRX 기술평가등급 A 및 BBB를 득하였습니다. 당사는 천연소재를 활용하여 유해생물 퇴치산업의 
에이비엘바이오,2018-12-19,코스닥,기술평가특례,기술특례,한국투자증권(주),바이오/헬스케어,15000,900.0,6795.5,60.08,10.99,12.3,92.0,31.3,018.07.26 I-MAB사와 기술도입 계약 체결 2018.07.30 TRIGR사와 기술이전 계약 체결 2018.08.20 기술평가 등급 획득 2018.09.05 2018년도 바이오 혁신성장기업 장관상 수상(산업자
프로테옴텍,2018-12-19,코스닥,기술평가특례,(NULL),키움증권(주),바이오/헬스케어,,,,94.1,21.25,,,,"당사는 「코스닥시장 상장규정」 제30조 제1항에서 정하는 기술성장기업에 해당하고, 코스닥이전상장이므로 제88조에 따른 상장심사수수료 및 상장수수료 면제 대상에 해당합니다"
유틸렉스,2018-12-24,코스닥,기술평가특례,기술특례,엔에이치투자증권(주),바이오/헬스케어,50000,363.5,3977.53,597.2,18.63,67.0,77.4,32.4,"당사는 『코스닥시장 상장규정』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제38조(상장의 폐지) 제1항 제4호 및 제4의2호에 따라 상장폐지 요건 중 매출액, 법인세비용차감전계속사업손실 요건은 신규상장일"
비피도,2018-12-26,코스닥,기술평가특례,기술특례,한국투자증권(주),소비재/유통,18000,73.8,906.1,74.62,0.0,31.1,61.4,31.1,"부 전문평가기관(2개 기관)으로부터 사전 기술평가를 받아야하며, 당사는 한국과학기술정보연구원과 NICE평가정보로부터 'KRX 기술평가등급 A, A'를 득하였습니다. 상장예비심사를 청구하는 기업의 유형별 외형요건은 아"
지놈앤컴퍼니,2018-12-26,코넥스,기술평가특례,(NULL),한국투자증권(주),바이오/헬스케어,,,,,,,,,시장규모 및 성장잠재력과 기술제품의 경쟁력 감안 시 전반적인 시장성은 양호한 수준인 것으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 장래 환경변화에 다소 영향을 받을 수는 있으나 우수한 기술력을 보유한 BBB 
지노믹트리,2019-03-27,코스닥,기술평가특례,기술특례,,바이오/헬스케어,,,104760.03,,,,,,"외부 전문평가기관(2개 기관)으로부터 사전 기술평가를 받아야하며, 당사는 한국생명공학연구원과 이크레더블로부터 각각 'KRX 기술평가등급 A, A'를 득하였습니다. 상장예비심사를 청구하는 기업의 유형별 외형요건은 아래"
다원넥스뷰,2019-05-21,코넥스,기술평가특례,(NULL),신한투자증권(주),기계/장비,,,,,,,,,"/서비스의 사업화 수준 , 제품 /서비스의 경쟁력을 감안 시 시장성은 보통 이상 수준으로 평가됨 . 이에 따라 동사의 최종 기술평가등급은 기술력이 동종기업 대비 다소 높고 기술환경변화에 보통의 영향을 받을 수 있는 "
수젠텍,2019-05-28,코스닥,기술평가특례,기술특례,,바이오/헬스케어,,,,,,,,,당사는 코스닥시장 상장규정에 의거 전문평가기관이 당사의 기술 등을 평가하여 평가결과가 일정 등급 이상일 경우 적용 되는 기술성장기업 특례를 적용 받
압타바이오,2019-06-12,코스닥,기술평가특례,기술특례,"미래에셋증권 주식회사,삼성증권(주)",바이오/헬스케어,30000,654.0,4030.77,856.41,35.1,-32.3,-34.2,-11.3,당사는 『코스닥시장 상장규정 』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제38조(상 장의 폐지) 제1항 제4호 및 제4의2호에 따라 상장폐지 요건 중 매출 액 요건은 신규상장일이 속하는 사업연도를 포
플리토,2019-07-17,코스닥,성장성/사업모델,기술특례,한국투자증권(주),IT/소프트웨어,26000,383.11,1231.06,1133.0,22.0,-15.8,-23.3,-47.5,"는 외부 전문평가기관(2개 기관)으로부터 사전에 사업모델평가를 받아야하며, 당사는 기술보증기금과 한국기업데이터로부터 'KRX 사업평가등급 A, A'를 득하였습니다. 상장예비심사를 청구하는 기업의 유형별 외형요건은 아"
라닉스,2019-09-18,코스닥,성장성/사업모델,기술특례(성장성),한국투자증권(주),반도체/디스플레이,6000,96.0,575.73,51.68,0.0,46.7,19.3,20.2,당사는 코스닥시장 상장요건 중 상장주선인이 성장성을 평가하여 추천한 중소기업에 해당하는
올리패스,2019-09-20,코스닥,성장성/사업모델,기술특례(성장성),"미래에셋증권 주식회사,키움증권(주)",바이오/헬스케어,20000,140.0,3382.72,11.07,0.4,-5.8,-52.2,-20.8,당사는 코스닥시장 상장요건 중 상장주선인이 성장성을 평가하여 추천한 중소기업에 해당하는
엔바이오니아,2019-10-24,코스닥,성장성/사업모델,기술특례,미래에셋증권 주식회사,소비재/유통,8200,91.02,910.2,425.8,3.8,-2.2,-33.0,-2.9,"하여 아래 절차에 따라 한국거래소가 지정한 평가기관인 한국기업데이터와 기술보증기금으로부터 약 1개월간 평가를 받고, 'KRX 사업평가등급 A, A'를 득하였습니다.한편, 상장예비심사를 청구하는 기업의 유형별 외형요건"
캐리소프트,2019-10-29,코스닥,성장성/사업모델,기술특례,미래에셋증권 주식회사,엔터/미디어/게임,9000,81.9,819.0,924.83,2.7,13.9,-44.8,-52.8,"여 아래 절차에 따라 한국거래소가 지정한 평가기관인 한국기업데이터와 NICE평가정보로부터 약 1개월간 평가를 받고, 'KRX 사업평가등급 AA, A'를 득하였습니다. [기술성장기업 기술(또는 사업모델) 평가 절차] "
라파스,2019-11-11,코스닥,성장성/사업모델,기술특례(성장성),DB증권주식회사,화학/소재,20000,256.0,320.0,202.06,0.0,-24.0,-26.0,-0.5,당사는 코스닥시장 상장요건 중 상장주선인이 성장성을 평가하여 추천한 중소기업에 해당하는
제테마,2019-11-14,코스닥,이익미실현,이익미실현,한국투자증권(주),바이오/헬스케어,21000,201.6,1853.04,12.41,0.0,-9.1,31.9,128.6,"우 당사의 경영안정성이 저하될 위험이 존재합니다. 기타 투자위험 가. 공모가액 산출 관련 위험 당사는 「코스닥시장 상장규정」 제6조 제1항 제6호 나목 에 의한 이익미실현 요건에 충족하는 기업으로, 상장예비심사 외형"
티움바이오,2019-11-22,코스닥,기술평가특례,기술특례,키움증권(주),바이오/헬스케어,12000,300.0,2820.38,37.3,0.0,40.8,19.6,37.5,"당사는 『코스닥시장 상장규정』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목) 제1항 제2호 및 제3호, 제38조(상장의 폐지) 제1항 제4호 및 제4의2호에 따라 관리종목 지정과 상장폐지"
리메드,2019-12-06,코스닥,이익미실현,이익미실현,,바이오/헬스케어,,,,,,,,,"부정적인 영향을 미칠 수 있으니 투자에 유의하시기 바랍니다 . 마. 공모가액 산출 관련 위험 당사는 「코스닥시장 상장규정」 제6조 제1항 제6호 나목 에 의한 이익미실현 요건에 충족하는 기업으로, 상장예비심사 외형요"
제이엘케이인스펙션,2019-12-11,코스닥,기술평가특례,기술특례,한국투자증권(주),IT/소프트웨어,9000,180.0,1442.94,69.81,0.0,-10.3,-13.1,29.4,당사는 코스닥시장 상장규정에 의거 전문평가기관이 당사의 기술 등을 평가하여 평가결과가 일정 등급 이상일 경우 적용 되는 기술성장기업 특례를 적용 받
메드팩토,2019-12-19,코스닥,기술평가특례,기술특례,삼성증권(주),바이오/헬스케어,40000,604.4,12378.06,86.41,13.83,-1.1,188.0,420.5,"당사는 『코스닥시장 상장규정』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목) 제1항 제2호 및 제3호, 제38조(상장의 폐지) 제1항 제4호 및 제4의2호에 따라 관리종목 지정과 상장폐지"
브릿지바이오,2019-12-20,코스닥,성장성/사업모델,기술특례(성장성),"대신증권(주),KB증권(주)",바이오/헬스케어,60000,420.0,4065.03,,,-6.8,-28.7,-27.6,"당사는 코스닥시장 상장요건 중 상장주선인이 성장성을 평가하여 추천한 기술성장기업(성장성 특례상장)으로서, 통상 기술성장기업특례의 적용을 받"
애드바이오텍,2019-12-24,코넥스,기술평가특례,(NULL),대신증권(주),바이오/헬스케어,,,49.48,,,,,,"(소재부품장비 기술개발) 2020.12 중소벤처기업부 장관표창(벤처기업진흥 유공) 2020.12 코스닥시장 상장 추진을 위한 기술평가 등급 수령 (한국기업데이터A, 농업실용화재단BBB) 2021.02 지식재산 경영인"
