회사명,상장일,시장구분,재분류,기존분류,대표주관회사,산업분류,확정공모가,공모금액_억원,시가총액_억원,기관경쟁률,확약비율,수익률_1M,수익률_6M,수익률_1Y,근거문구
천랩,2019-12-26,코스닥,기술평가특례,기술특례(성장성),한국투자증권(주),바이오/헬스케어,40000,172.0,1571.1,51.11,0.0,-13.0,15.9,0.3,"전문평가기관(2개 기관)으로부터 사전 기술평가를 받아야하며, 당사는 이크레더블 및 한국과학기술정보연구원으로부터 각각 'KRX 기술평가등급 AA, BBB'를 득하였습니다. 상장예비심사를 청구하는 기업의 유형별 외형요건"
서남,2020-02-20,코스닥,기술평가특례,기술특례,한국투자증권(주),화학/소재,3100,108.5,671.57,1228.4,5.21,-40.2,13.9,18.4,"시장 선점 및 점유율 확대를 위해 기술제품의 경쟁력을 지속 개선할 필요가 있음- 상기의 평가결과를 종합하여 볼 때, ㈜서남의 기술평가등급은 높은 수준의 기술력을 가진 기업 수준인 “A”에 해당하는 것으로 평가함 NI"
레몬,2020-02-28,코스닥,기술평가특례,기술특례,미래에셋증권 주식회사,화학/소재,7200,295.2,5904.0,426.0,6.3,18.1,173.6,26.7,"절 차에 따라 한국거래소가 지정한 평가기관인 NICE평가정보와 한국전자통신연구원으로부터 약 1개월간 평가를 받고, 'KRX 기술평가등급 A, A'를 득 하였습니다. 한편, 상장예비심사를 청구하는 기업의 유형별 외형요"
켄코아에어로스페이스,2020-03-03,코스닥,이익미실현,이익미실현,엔에이치투자증권(주),방산/우주항공,10000,131.4,1178.41,120.75,2.55,-40.1,-24.0,26.5,"회하는 가격으로 보상받을 수 있는 위험이 존재합니다. 다. 공모가 산정방식의 한계에 따른 위험 당사는 「코스닥시장 상장규정」 제6조 제1항 제6호 나목 에 의한 이익미실현 요건에 충족하는 기업으로, 상장예비심사 외형"
에스씨엠생명과학,2020-06-17,코스닥,기술평가특례,기술특례,한국투자증권(주),바이오/헬스케어,17000,306.0,2138.85,1032.17,7.7,52.9,104.1,86.5,". 이를 종합적으로 고려할 시, 동사는 우수한 기술력을 보유한 기업이나 장래의 환경변화에 다소 영향을 받을 수 있는 기업으로 기술평가등급 ‘BBB’로 의견 제시한다. &cr;한편, 상장예비심사를 청구하는 기업의 유형"
젠큐릭스,2020-06-25,코스닥,기술평가특례,기술특례,,바이오/헬스케어,22700,181.6,227.0,77.03,0.0,-30.2,-22.7,0.9,"당사는 『코스닥시장 상장규정』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목) 제1항 제2호 및 제3호, 제38조(상장의 폐지) 제1항 제4호 및 제4의2호에 따라 관리종목 지정과 상장폐지"
소마젠,2020-07-13,코스닥,기술평가특례,기술특례,,바이오/헬스케어,11000,462.0,4620.0,69.46,0.0,54.1,65.0,24.1,"당사는 『코스닥시장 상장규정』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목) 제1항 제2호 및 제3호, 제38조(상장의 폐지) 제1항 제4호 및 제4의2호에 따라 관리종목 지정과 상장폐지"
티에스아이,2020-07-22,코스닥,이익미실현,일반,,기계/장비,,,14959.56,,,,,,"조 제1항 제6호의 경영성과 및 시장평가 등 요건 중 가.목의 수익성 또는 매출액 관련 요건을 충족하지 못하였으며, 이에 따라 나.목의 시장평가 또는 성장성 충족(이익미실현기업의 상장)에 관한 요건을 적용받아 금번 "
솔트룩스,2020-07-23,코스닥,기술평가특례,기술특례(성장성),한국투자증권(주),IT/소프트웨어,25000,187.5,1279.68,528.17,5.58,14.2,40.0,24.6,"회사: 장우석 팀장, 신지웅 과장, 박세훈 과장, 최재혁 대리 - 발행회사: 이경일 대표이사, 권혁일 이사 3. 내용 (1) 기술평가 등급 확보에 따른 청구 등 향후 일정 점검 (2) 내부통제시스템 정비상황 점검 2"
제놀루션,2020-07-24,코스닥,기술평가특례,기술특례,,바이오/헬스케어,14000,112.0,1120.0,1161.09,21.36,123.9,86.4,164.6,"당사는 『코스닥시장 상장규정』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목) 제1항 제2호 및 제3호, 제38조(상장의 폐지) 제1항 제4호 및 제4의2호에 따라 관리종목 지정과 상장폐지"
