회사명,상장일,시장구분,대표주관회사,기존분류,재분류,근거문구
꿈비,2023-02-09,코스닥,키움증권(주),일반,일반,
샌즈랩,2023-02-15,코스닥,키움증권(주),기술특례,기술평가특례,당사는 「코스닥시장 상장규정」 제30조 제1항에서 정하는 기술성장기업으로서 상장심사수수료 및 상장수수료 면제 대상에 해당합니다
제이오,2023-02-16,코스닥,한국투자증권(주),기술특례,기술평가특례,"시장규모 및 성장잠재력과 기술제품의 경쟁력을 감안 시 전반적인 시장성은 보통 이상 수준으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 높은 수준의 기술력을 가진 기업으로 장래 환경변화에 크게 영향을 받지 않을 수준인 A로 의견 제시함. 한편, 상장예비심사를"
이노진,2023-02-20,코스닥,,일반,일반,
바이오인프라,2023-03-02,코스닥,DB증권주식회사,일반,일반,
나노팀,2023-03-03,코스닥,한국투자증권(주),일반,일반,
자람테크놀로지,2023-03-07,코스닥,신영증권(주),기술특례,기술평가특례,"당사는 코스닥시장 상장요건 중 전문평가기관의 기술 등에 대한 평가를 받아 A 등급 이상을 취득한 기술성장기업(기술특례상장)으로서, 2022년 9월 29일 상장예비심사 승인을 득"
금양그린파워,2023-03-13,코스닥,삼성증권(주),일반,일반,
LB인베스트먼트,2023-03-29,코스닥,미래에셋증권 주식회사,일반,일반,
지아이이노베이션,2023-03-30,코스닥,"엔에이치투자증권(주),하나증권주식회사,삼성증권(주)",기술특례,기술평가특례,"당사는 기술성장기업으로서 매출액 요건의 경우 신규상장일이 속하는 사업연도(상장 후 사업연도말까지 3월 미만인 경우 다음 사업연도)를 포함한 연속하는 5개 사업연도, 세전이익 요건의 경우 신규상장일이 속하는 사업연도(상장 후 사업연도말까지 3월 미만인 경우 다음 사업연도)를 포함한 연속하는 3개 사업연도에 대해서는 해당 요건을 적용받"
SK오션플랜트,2023-04-19,유가증권,,일반,일반,
노보믹스,2023-04-19,코스닥,대신증권(주),(NULL),(문서없음),
마이크로투나노,2023-04-26,코스닥,한국투자증권(주),기술특례,기술평가특례,"당사는 코스닥시장 상장요건 중 전문평가기관의 기술 등에 대한 평가를 받아 A 등급 이상을 취득한 기술성장기업(기술특례상장)으로서, 2023년 02월 23일 상장예비심사 승인을 득"
토마토시스템,2023-04-27,코스닥,,일반,일반,
에스바이오메딕스,2023-05-04,코스닥,미래에셋증권 주식회사,기술특례,기술평가특례,"당사는 기술성장기업으로서 매출액 요건의 경우 신규상장일이 속하는 사업연도(상장 후 사업연도말까지 3월 미만인 경우 다음 사업연도)를 포함한 연속하는 5개 사업연도, 세전이익 요건의 경우 신규상장일이 속하는 사업연도(상장 후 사업연도말까지 3월 미만인 경우 다음 사업연도)를 포함한 연속하는 3개 사업연도에 대해서는 해당 요건을 적용받"
삼미금속,2023-05-16,코넥스,아이비케이투자증권(주),(NULL),일반,
트루엔,2023-05-17,코스닥,미래에셋증권 주식회사,일반,일반,
큐라켐,2023-05-18,코스닥,아이비케이투자증권(주),(NULL),(문서없음),
씨유박스,2023-05-19,코스닥,"신한투자증권 주식회사,SK증권(주)",기술특례,기술평가특례,"당사는 코스닥시장 상장요건 중 전문평가기관의 기술 등에 대한 평가를 받아 A등급 이상을 취득하여 기술력과 성장성이 인정되는 기업인 기술성장기업(기술 특례상장)으로서, 2023년 2월 2일 상장예비심사 승인을 득"
모니터랩,2023-05-19,코스닥,미래에셋증권 주식회사,기술특례,기술평가특례,"당사는 기술성장기업(기술특례상장) 적용 기업으로서 매출액 요건의 경우 신규상장 예정일이 속하는 사업연도인 2023년도를 포함한 연속하는 5개 사업연도 (2027년도까지), 법인세비용차감전계속사업손실 요건의 경우 신규상장 예정일이 속하는 사업연도를 포함한 연속하는 3개 사업연도(2025년도까지)에 대해서는 해당 요건을 적용받"
기가비스,2023-05-24,코스닥,삼성증권(주),일반,일반,
진영,2023-06-01,코스닥,iM증권,일반,일반,
나라셀라,2023-06-02,코스닥,신영증권(주),일반,일반,
마녀공장,2023-06-08,코스닥,한국투자증권(주),일반,일반,
큐라티스,2023-06-15,코스닥,"대신증권(주),신영증권(주)",기술특례,기술평가특례,"전망됨.상기 내용을 모두 고려할 시, 동사는 우수한 기술력을 보유했으나 장래의 환경변화에 다소 영향을 받을 기업으로 판단되어 기술평가등급 [BBB]의 의견을 제시함. [전문평가의 평가등급 체계 및 등급별 정의] 평가등급 등급별 정의 AAA 최고의 기술력을 가진"
프로테옴텍,2023-06-16,코스닥,,기술특례,기술평가특례,"당사는 「코스닥시장 상장규정」 제30조 제1항에서 정하는 기술성장기업에 해당하고, 코스닥이전상장이므로 제88조에 따른 상장심사수수료 및 상장수수료 면제 대상에 해당합니다"
비에이치,2023-06-20,유가증권,,일반,(문서없음),
가이아코퍼레이션,2023-06-20,코스닥,키움증권(주),(NULL),(문서없음),
시큐센,2023-06-29,코스닥,,기술특례,일반,
알멕,2023-06-30,코스닥,엔에이치투자증권(주),이익미실현,이익미실현,"조 제1항 제2호의 경영성과 및 시장평가 등 요건 중 가.목의 수익성 또는 매출액 관련 요건을 충족하지 못하였으며, 이에 따라 나.목의 시장평가 또는 성장성 충족(이익미실현기업의 상장)에 관한 요건을 적용받아 금번 공모를 진행하고 있습니다. 다만, 확정공모 시가총액이 상장요건에서 정하는 시가총액 기준보다 낮게 결정되거나 공모수량"
오픈놀,2023-06-30,코스닥,하나증권주식회사,기술특례,성장성/사업모델,"과가 본격화되기 전인 경우가 많습니다.당사는 직무역량 중심의 커리어 교육 및 채용 플랫폼인 미니인턴 플랫폼에 대해 코스닥시장 기술성장특례(사업모델 기업) 요건을 기반으로 상장을 추진하기 위해, 2022년 5월 기술평가를 신청하였으며, 2022년 7월 한국거래소가 지정한"
이브이파킹서비스,2023-07-05,코스닥,해당없음,(NULL),(문서없음),
이노시뮬레이션,2023-07-06,코스닥,하나증권주식회사,기술특례,기술평가특례,"레코드 현황, 투자비용, 기간을 고려할 시 장래 환경변화에 대응할 수 있는 높은 수준의 기술력을 가진 기업으로 판단되는 바, 기술평가 등급 [A]로 의견을 제시함. NICE디앤비 A ㈜이노시뮬레이션(이하 동사)는 2000년 5월에 설립된 외감 중소기업으로，XR(E"
필에너지,2023-07-14,코스닥,미래에셋증권 주식회사,일반,일반,
센서뷰,2023-07-19,코스닥,삼성증권(주),기술특례,기술평가특례,"유일의 업체로서, 세계 RF 연결 솔루션 시장에서 세계 유수의 업체들과 경쟁하고 있는 점을 고려하여 종합적으로 판단할 때, 기술평가등급은 [A]로 평가됨. 환경변화에 크게 영향을 받지 않을 기업으로 판단되는 바, 기술평가등급[A]로 의견을 제시함. 당사가 수령"
아이엠지티,2023-07-19,코스닥,미래에셋증권(주),(NULL),(문서없음),
와이랩,2023-07-20,코스닥,한국투자증권(주),기술특례(성장성),성장성/사업모델,당사는 코스닥시장 상장요건 중 상장주선인이 성장성을 평가하여 추천한 중소기업에 해당하는
뷰티스킨,2023-07-24,코스닥,DB증권주식회사,일반,일반,
버넥트,2023-07-26,코스닥,대신증권(주),기술특례,기술평가특례,"기업으로 평가함.상기 내용을 모두 고려할 시, 동사는 우수한 기술력을 보유했으며, 미래 성장성이 예상되는 기업으로 판단되어 기술평가등급[A]의 의견을 제시함. 한국기술신용평가 A 동사는 서울특별시 용산구에 위치한 중소 기업으로 응용 소프트웨어 개발 및 공급업을"
길교이앤씨,2023-07-26,코스닥,SK증권(주),(NULL),(문서없음),
에이엘티,2023-07-27,코스닥,미래에셋증권 주식회사,일반,일반,
파로스아이바이오,2023-07-27,코스닥,한국투자증권(주),기술특례,기술평가특례,"것으로 전망됨. 상기 내용을 모두 고려할 시, 동사는 우수한 기술력을 보유했으며, 미래 성장성이 예상되는 기업으로 판단되어 기술평가등급 [A]의 의견을 제시함. 기술보증기금 BBB ㈜파로스아이바이오는 희귀·난치성 질환에 대한 치료제 개발 전문기업으로, 빅데이터"
에피바이오텍,2023-07-31,코스닥,한국투자증권(주),(NULL),(문서없음),
