회사명,상장일,시장구분,대표주관회사,기존분류,재분류,근거문구
컴퍼니케이,2019-05-23,코스닥,엔에이치투자증권(주),일반,일반,
수젠텍,2019-05-28,코스닥,,기술특례,기술평가특례,당사는 코스닥시장 상장규정에 의거 전문평가기관이 당사의 기술 등을 평가하여 평가결과가 일정 등급 이상일 경우 적용 되는 기술성장기업 특례를 적용 받
포스코케미칼,2019-05-29,유가증권,,일반,(문서없음),
원바이오젠,2019-06-03,코스닥,교보증권(주),(NULL),(문서없음),
마이크로디지탈,2019-06-05,코스닥,하나증권주식회사,기술특례,일반,
까스텔바쟉,2019-06-10,코스닥,엔에이치투자증권(주),일반,일반,
압타바이오,2019-06-12,코스닥,"미래에셋증권 주식회사,삼성증권(주)",기술특례,기술평가특례,"당사는 『코스닥시장 상장규정 』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제38조(상 장의 폐지) 제1항 제4호 및 제4의2호에 따라 상장폐지 요건 중 매출 액 요건은 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도, 법인세비용차감전계속사업손실 요건은 신규상장일이 속하는 사업연도를 포함한 연속하는 3개 사업연도 동안 해당 요건을 "
티티씨디펜스,2019-06-27,코스닥,아이비케이투자증권(주),(NULL),(문서없음),
에이에프더블류,2019-07-01,코스닥,엔에이치투자증권(주),일반,일반,
펌텍코리아,2019-07-04,코스닥,한국투자증권(주),일반,일반,
펨토바이오메드,2019-07-10,코스닥,해당없음,(NULL),(문서없음),
아이스크림에듀,2019-07-11,코스닥,대신증권(주),일반,일반,
세틀뱅크,2019-07-12,코스닥,"신한투자증권 주식회사,한국투자증권(주)",일반,일반,
구스앤홈,2019-07-12,코스닥,해당없음,(NULL),(문서없음),
플리토,2019-07-17,코스닥,한국투자증권(주),기술특례,성장성/사업모델,"는 외부 전문평가기관(2개 기관)으로부터 사전에 사업모델평가를 받아야하며, 당사는 기술보증기금과 한국기업데이터로부터 'KRX 사업평가등급 A, A'를 득하였습니다. 상장예비심사를 청구하는 기업의 유형별 외형요건은 아래와 같이 일부 차이가 존재합니다. [ 코스닥시"
에이스토리,2019-07-19,코스닥,엔에이치투자증권(주),일반,일반,
대모,2019-07-24,코스닥,신한투자증권 주식회사,일반,일반,
윌링스,2019-07-25,코스닥,신영증권(주),일반,일반,
세경하이테크,2019-07-30,코스닥,키움증권(주),일반,일반,
슈프리마아이디,2019-08-01,코스닥,한국투자증권(주),일반,일반,
한국바이오젠,2019-08-01,코스닥,미래에셋증권 주식회사,일반,일반,
덕산테코피아,2019-08-02,코스닥,엔에이치투자증권(주),일반,일반,
코윈테크,2019-08-05,코스닥,미래에셋증권 주식회사,일반,일반,
케어룸의료산업,2019-08-05,코스닥,아이비케이투자증권(주),(NULL),(문서없음),
그린플러스,2019-08-07,코스닥,,일반,(문서없음),
레이,2019-08-08,코스닥,한국투자증권(주),일반,일반,
에스피시스템스,2019-08-14,코스닥,한국투자증권(주),일반,일반,
나노브릭,2019-08-19,코스닥,KB증권(주),기술특례,일반,
마니커에프앤지,2019-08-20,코스닥,유진투자증권(주),일반,일반,
네오크레마,2019-08-22,코스닥,키움증권(주),일반,일반,
아퓨어스,2019-09-03,코스닥,해당없음,(NULL),(문서없음),
한독크린텍,2019-09-05,코스닥,한국투자증권(주),일반,일반,
라닉스,2019-09-18,코스닥,한국투자증권(주),기술특례(성장성),성장성/사업모델,당사는 코스닥시장 상장요건 중 상장주선인이 성장성을 평가하여 추천한 중소기업에 해당하는
올리패스,2019-09-20,코스닥,"미래에셋증권 주식회사,키움증권(주)",기술특례(성장성),성장성/사업모델,당사는 코스닥시장 상장요건 중 상장주선인이 성장성을 평가하여 추천한 중소기업에 해당하는
엔지브이아이,2019-09-30,코스닥,(주)상상인증권,(NULL),(문서없음),
녹십자웰빙,2019-10-14,코스닥,하나증권주식회사,일반,일반,
아톤,2019-10-17,코스닥,"엔에이치투자증권(주),KB증권(주)",일반,일반,
라온피플,2019-10-18,코스닥,미래에셋증권 주식회사,일반,일반,
제이콘텐트리,2019-10-18,유가증권,,일반,(문서없음),
팜스빌,2019-10-22,코스닥,대신증권(주),일반,일반,
엔바이오니아,2019-10-24,코스닥,미래에셋증권 주식회사,기술특례,성장성/사업모델,"하여 아래 절차에 따라 한국거래소가 지정한 평가기관인 한국기업데이터와 기술보증기금으로부터 약 1개월간 평가를 받고, 'KRX 사업평가등급 A, A'를 득하였습니다.한편, 상장예비심사를 청구하는 기업의 유형별 외형요건은 아래와 같이 일부 차이가 존재합니다. [ 코"
케이엔제이,2019-10-25,코스닥,미래에셋증권 주식회사,일반,일반,
한국미라클피플사,2019-10-28,코스닥,아이비케이투자증권(주),(NULL),(문서없음),
캐리소프트,2019-10-29,코스닥,미래에셋증권 주식회사,기술특례,성장성/사업모델,"여 아래 절차에 따라 한국거래소가 지정한 평가기관인 한국기업데이터와 NICE평가정보로부터 약 1개월간 평가를 받고, 'KRX 사업평가등급 AA, A'를 득하였습니다. [기술성장기업 기술(또는 사업모델) 평가 절차] 기술평가절차_예투.jpg 기술평가절차. 평가기관"
지누스,2019-10-30,유가증권,엔에이치투자증권(주),일반,일반,
티라유텍,2019-10-31,코스닥,미래에셋증권 주식회사,일반,일반,
미디어젠,2019-11-05,코스닥,,기술특례,일반,
자이에스앤디,2019-11-06,유가증권,한국투자증권(주),일반,일반,
아이티엠반도체,2019-11-07,코스닥,KB증권(주),일반,일반,
라파스,2019-11-11,코스닥,DB증권주식회사,기술특례(성장성),성장성/사업모델,당사는 코스닥시장 상장요건 중 상장주선인이 성장성을 평가하여 추천한 중소기업에 해당하는
한화시스템,2019-11-13,유가증권,"한국투자증권(주),씨티그룹글로벌마켓증권(주),엔에이치투자증권(주)",일반,일반,
제테마,2019-11-14,코스닥,한국투자증권(주),이익미실현,이익미실현,"우 당사의 경영안정성이 저하될 위험이 존재합니다. 기타 투자위험 가. 공모가액 산출 관련 위험 당사는 「코스닥시장 상장규정」 제6조 제1항 제6호 나목 에 의한 이익미실현 요건에 충족하는 기업으로, 상장예비심사 외형요건 중 경영성과 요건을 면제 받았습니다. 또한 공모가액 산출 시 최근 사업연도 또는 분ㆍ반기"
에스제이그룹,2019-11-18,코스닥,"엔에이치투자증권(주),IBK투자증권(주)",일반,일반,
현대에너지솔루션,2019-11-19,유가증권,한국투자증권(주),일반,일반,
우양,2019-11-20,코스닥,미래에셋증권 주식회사,일반,일반,
코리아에셋투자증권,2019-11-20,코스닥,신영증권(주),일반,일반,
씨에스베어링,2019-11-21,코스닥,한국투자증권(주),일반,일반,
티움바이오,2019-11-22,코스닥,키움증권(주),기술특례,기술평가특례,"당사는 『코스닥시장 상장규정』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목) 제1항 제2호 및 제3호, 제38조(상장의 폐지) 제1항 제4호 및 제4의2호에 따라 관리종목 지정과 상장폐지 요건 중 매출액, 법인세비용차감전계속사업손실 요건은 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도 동안 해당 요건을 적용받"
센트랄모텍,2019-11-25,유가증권,한국투자증권(주),일반,일반,
노터스,2019-11-27,코스닥,대신증권(주),일반,일반,
유엑스엔,2019-11-28,코스닥,키움증권(주),(NULL),(문서없음),
코리아센터,2019-11-29,코스닥,엔에이치투자증권(주),일반,일반,
진코스텍,2019-11-29,코스닥,하나증권(주),(NULL),(문서없음),
이도바이오,2019-12-02,코스닥,한화투자증권(주),(NULL),(문서없음),
리메드,2019-12-06,코스닥,,이익미실현,이익미실현,"부정적인 영향을 미칠 수 있으니 투자에 유의하시기 바랍니다 . 마. 공모가액 산출 관련 위험 당사는 「코스닥시장 상장규정」 제6조 제1항 제6호 나목 에 의한 이익미실현 요건에 충족하는 기업으로, 상장예비심사 외형요건 중 경영성과 요건을 면제 받았습니다. 또한 공모가액 산출 시 최근 사업연도 또는 분ㆍ반기"
노드메이슨,2019-12-06,코스닥,아이비케이투자증권(주),(NULL),(문서없음),
태웅로직스,2019-12-10,코스닥,"IBK투자증권(주),(주)비엔케이투자증권",일반,일반,
제이엘케이인스펙션,2019-12-11,코스닥,한국투자증권(주),기술특례,기술평가특례,당사는 코스닥시장 상장규정에 의거 전문평가기관이 당사의 기술 등을 평가하여 평가결과가 일정 등급 이상일 경우 적용 되는 기술성장기업 특례를 적용 받
신테카바이오,2019-12-17,코스닥,KB증권(주),기술특례(성장성),일반,
메드팩토,2019-12-19,코스닥,삼성증권(주),기술특례,기술평가특례,"당사는 『코스닥시장 상장규정』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목) 제1항 제2호 및 제3호, 제38조(상장의 폐지) 제1항 제4호 및 제4의2호에 따라 관리종목 지정과 상장폐지 요건 중 매출액 요건은 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도, 법인세비용차감전계속사업손실 요건은 신규상장일이 속하는 사"
브릿지바이오,2019-12-20,코스닥,"대신증권(주),KB증권(주)",기술특례(성장성),성장성/사업모델,"당사는 코스닥시장 상장요건 중 상장주선인이 성장성을 평가하여 추천한 기술성장기업(성장성 특례상장)으로서, 통상 기술성장기업특례의 적용을 받"
메탈라이프,2019-12-24,코스닥,한국투자증권(주),일반,일반,
애드바이오텍,2019-12-24,코넥스,대신증권(주),(NULL),기술평가특례,"(소재부품장비 기술개발) 2020.12 중소벤처기업부 장관표창(벤처기업진흥 유공) 2020.12 코스닥시장 상장 추진을 위한 기술평가 등급 수령 (한국기업데이터A, 농업실용화재단BBB) 2021.02 지식재산 경영인증(특허청) 2021.04 글로벌 강소기업 선정("
피피아이,2019-12-26,코스닥,미래에셋증권 주식회사,일반,일반,
천랩,2019-12-26,코스닥,한국투자증권(주),기술특례(성장성),기술평가특례,"전문평가기관(2개 기관)으로부터 사전 기술평가를 받아야하며, 당사는 이크레더블 및 한국과학기술정보연구원으로부터 각각 'KRX 기술평가등급 AA, BBB'를 득하였습니다. 상장예비심사를 청구하는 기업의 유형별 외형요건은 아래와 같이 일부 차이가 존재합니다. [코스"
엔에스엠,2019-12-26,코스닥,키움증권(주),(NULL),(문서없음),
이앤에치,2019-12-27,코스닥,해당없음,(NULL),(문서없음),
위세아이텍,2020-02-10,코스닥,,일반,일반,
서남,2020-02-20,코스닥,한국투자증권(주),기술특례,기술평가특례,"시장 선점 및 점유율 확대를 위해 기술제품의 경쟁력을 지속 개선할 필요가 있음- 상기의 평가결과를 종합하여 볼 때, ㈜서남의 기술평가등급은 높은 수준의 기술력을 가진 기업 수준인 “A”에 해당하는 것으로 평가함 NICE평가정보 - (주)서남은 초전도, 나노 및"
레몬,2020-02-28,코스닥,미래에셋증권 주식회사,기술특례,기술평가특례,"절 차에 따라 한국거래소가 지정한 평가기관인 NICE평가정보와 한국전자통신연구원으로부터 약 1개월간 평가를 받고, 'KRX 기술평가등급 A, A'를 득 하였습니다. 한편, 상장예비심사를 청구하는 기업의 유형별 외형요건은 아래와 같이 일부 차이가 존재합니다. ["
켄코아에어로스페이스,2020-03-03,코스닥,엔에이치투자증권(주),이익미실현,이익미실현,"회하는 가격으로 보상받을 수 있는 위험이 존재합니다. 다. 공모가 산정방식의 한계에 따른 위험 당사는 「코스닥시장 상장규정」 제6조 제1항 제6호 나목 에 의한 이익미실현 요건에 충족하는 기업으로, 상장예비심사 외형요건 중 경영성과 요건을 면제 받았습니다. 또한 공모가액 산출 시 최근 사업연도 또는 분ㆍ반기"
제이앤티씨,2020-03-04,코스닥,"신한투자증권 주식회사,유진투자증권(주)",일반,일반,
서울바이오시스,2020-03-06,코스닥,KB증권(주),기술특례,일반,
플레이디,2020-03-12,코스닥,KB증권(주),일반,일반,
엔피디,2020-03-16,코스닥,유안타증권(주),일반,일반,
단디바이오,2020-04-24,코스닥,신한투자증권(주),(NULL),(문서없음),
이노진,2020-04-27,코넥스,아이비케이투자증권(주),(NULL),일반,
오션스톤,2020-05-07,코스닥,해당없음,(NULL),(문서없음),
드림씨아이에스,2020-05-22,코스닥,엔에이치투자증권(주),일반,일반,
에스씨엠생명과학,2020-06-17,코스닥,한국투자증권(주),기술특례,기술평가특례,". 이를 종합적으로 고려할 시, 동사는 우수한 기술력을 보유한 기업이나 장래의 환경변화에 다소 영향을 받을 수 있는 기업으로 기술평가등급 ‘BBB’로 의견 제시한다. &cr;한편, 상장예비심사를 청구하는 기업의 유형별 외형요건은 아래와 같이 일부 차이가 존재합니"
엘이티,2020-06-22,코스닥,미래에셋증권 주식회사,일반,일반,
무진메디,2020-06-24,코스닥,한국투자증권(주),(NULL),(문서없음),
젠큐릭스,2020-06-25,코스닥,,기술특례,기술평가특례,"당사는 『코스닥시장 상장규정』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목) 제1항 제2호 및 제3호, 제38조(상장의 폐지) 제1항 제4호 및 제4의2호에 따라 관리종목 지정과 상장폐지 요건 중 매출액 요건은 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도, 법인세비용차감전계속사업손실 요건은 신규상장일이 속하는 사"
폭스소프트,2020-06-25,코스닥,해당없음,(NULL),(문서없음),
마크로밀엠브레인,2020-07-01,코스닥,엔에이치투자증권(주),일반,일반,
에스케이바이오팜,2020-07-02,유가증권,"엔에이치투자증권(주),씨티그룹글로벌마켓증권(주)",일반,일반,
위더스제약,2020-07-03,코스닥,"엔에이치투자증권(주),삼성증권(주)",일반,일반,
신도기연,2020-07-06,코스닥,한국투자증권(주),일반,일반,
소마젠,2020-07-13,코스닥,,기술특례,기술평가특례,"당사는 『코스닥시장 상장규정』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목) 제1항 제2호 및 제3호, 제38조(상장의 폐지) 제1항 제4호 및 제4의2호에 따라 관리종목 지정과 상장폐지 요건 중 매출액 요건은 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도, 법인세비용차감전계속사업손실 요건은 신규상장일이 속하는 사"
에이프로,2020-07-16,코스닥,엔에이치투자증권(주),일반,일반,
티에스아이,2020-07-22,코스닥,,일반,이익미실현,"조 제1항 제6호의 경영성과 및 시장평가 등 요건 중 가.목의 수익성 또는 매출액 관련 요건을 충족하지 못하였으며, 이에 따라 나.목의 시장평가 또는 성장성 충족(이익미실현기업의 상장)에 관한 요건을 적용받아 금번 공모를 진행하고 있습니다. 당사는 기준시가총액 (공모가에 상장예정주식수를 곱한 금액) 이 300억원에 미달(확정공모"
바이오인프라생명과학,2020-07-22,코스닥,키움증권(주),(NULL),(문서없음),
솔트룩스,2020-07-23,코스닥,한국투자증권(주),기술특례(성장성),기술평가특례,"회사: 장우석 팀장, 신지웅 과장, 박세훈 과장, 최재혁 대리 - 발행회사: 이경일 대표이사, 권혁일 이사 3. 내용 (1) 기술평가 등급 확보에 따른 청구 등 향후 일정 점검 (2) 내부통제시스템 정비상황 점검 2019.12.16 ~ 2020.02.21 ■ 8차"
제놀루션,2020-07-24,코스닥,,기술특례,기술평가특례,"당사는 『코스닥시장 상장규정』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목) 제1항 제2호 및 제3호, 제38조(상장의 폐지) 제1항 제4호 및 제4의2호에 따라 관리종목 지정과 상장폐지 요건 중 매출액 요건은 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도, 법인세비용차감전계속사업손실 요건은 신규상장일이 속하는 사"
더네이쳐홀딩스,2020-07-27,코스닥,한국투자증권(주),일반,일반,
엠투아이,2020-07-29,코스닥,미래에셋증권 주식회사,일반,일반,
이엔드디,2020-07-30,코스닥,,일반,(문서없음),
와이팜,2020-07-31,코스닥,엔에이치투자증권(주),일반,일반,
이루다,2020-08-06,코스닥,미래에셋증권 주식회사,일반,일반,
한국파마,2020-08-10,코스닥,미래에셋증권 주식회사,일반,일반,
영림원소프트랩,2020-08-12,코스닥,미래에셋증권 주식회사,일반,일반,
브랜드엑스코퍼레이션,2020-08-13,코스닥,"대신증권(주),삼성증권(주)",일반,일반,
미투젠,2020-08-18,코스닥,,일반,(문서없음),
데이드림엔터,2020-08-18,코스닥,KB증권(주),(NULL),(문서없음),
셀레믹스,2020-08-21,코스닥,대신증권(주),기술특례(성장성),기술평가특례,당사는 코스닥시장 상장요건 중 기술성장기업 중 ‘성장성추천’ 적용 기업으로 상장예비심사 승인을 득
아이디피,2020-08-24,코스닥,키움증권(주),일반,일반,
피엔케이,2020-09-09,코스닥,미래에셋증권 주식회사,일반,일반,
카카오게임즈,2020-09-10,코스닥,"한국투자증권(주),삼성증권(주)",일반,일반,
이오플로우,2020-09-14,코스닥,하나증권주식회사,기술특례(성장성),기술평가특례,업무 소개 - 성장성 특례제도를 통한 코스닥시장 상장 검토 (2) 성장성 특례제도 상장주선인 요건 검토 (3) 07월 05일 기술평가 등급 수령(한국기업데이터 : A) 2019.07.09 ~ 2019.07.12 ■ 2차 기업실사 1. 장소: 이오플로우㈜ 회의실 2
압타머사이언스,2020-09-16,코스닥,키움증권(주),기술특례(성장성),성장성/사업모델,당사는 코스닥시장 상장요건 중 상장주선인이 성장성을 평가하여 추천한 중소기업에 해당하는
핌스,2020-09-18,코스닥,DB증권주식회사,일반,일반,
비비씨,2020-09-21,코스닥,미래에셋증권 주식회사,일반,일반,
박셀바이오,2020-09-22,코스닥,하나증권주식회사,기술특례,기술평가특례,"평가대상기업은 의사 출신 공동창업자(이준행,이제중)가 국가연구과제 수행성과를 바탕으로 설립한 연구개발 중심의 바이오기업임. 기술평가등급은 A등급으로 높은 수준의 기술력을 가진 기업(장래 환경변화에 크게 영향을 받지 않을 수준)으로 평가됨.&cr;&cr;○ 동사"
비나텍,2020-09-23,코스닥,,일반,일반,
원방테크,2020-09-24,코스닥,미래에셋증권 주식회사,일반,일반,
넥스틴,2020-10-08,코스닥,KB증권(주),기술특례,기술평가특례,제조사의 국산화 정책과 세계 무역 동향 등을 고려할 경우 보유 기술력에 기반한 지속적인 수주 물량 확보 가능성이 높음에 따라 기술평가등급은 A 로 판단됨. &cr; 처. 주가의 일일가격제한폭 확대에 따른 가격변동 위험&cr; &cr;2015년 6월 15일부터 코
빅히트,2020-10-15,유가증권,"한국투자증권(주),제이피모간증권회사 서울지점,엔에이치투자증권(주)",일반,일반,
피플바이오,2020-10-19,코스닥,키움증권(주),기술특례,기술평가특례,"당사는 『코스닥시장 상장규정』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목) 제1항 제2호 및 제3호, 제38조(상장의 폐지) 제1항 제4호 및 제4의2호에 따라 관리종목 지정과 상장폐지 요건 중 매출액 요건은 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도, 법인세비용차감전계속사업손실 요건은 신규상장일이 속하는 사"
미코바이오메드,2020-10-22,코스닥,,일반,(문서없음),
원포유,2020-10-23,코스닥,대신증권(주),(NULL),(문서없음),
바이브컴퍼니,2020-10-28,코스닥,한국투자증권(주),기술특례(성장성),기술평가특례,"모 및 성장잠재력과 기술제품의 경쟁력 을 감안 시 전반적인 시장성은 보통 이상 수준인 것으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 높은 수준의 기술력을 가진 기업으로 장래 환경변화에 크게 영향을 받지 않을 수준인 A로 의견 제시함. &cr;한편, 코스닥"
센코,2020-10-29,코스닥,한국투자증권(주),기술특례,기술평가특례,"적으로 개발ㆍ생산하면서확보한 기술력을 바탕으로 해외 유수의 업체와 시장에서 경쟁하고 있는 점을 고려하여 종합적으로 판단할 때 기술평가등급은 [A]로 평가됨. &cr;한편, 상장예비심사를 청구하는 기업의 유형별 외형요건은 아래와 같이 일부 차이가 존재합니다.&cr"
위드텍,2020-10-30,코스닥,하나증권주식회사,일반,일반,
소룩스,2020-11-06,코스닥,미래에셋증권 주식회사,일반,일반,
교촌에프앤비,2020-11-12,유가증권,미래에셋증권 주식회사,일반,일반,
네패스아크,2020-11-17,코스닥,미래에셋증권 주식회사,일반,일반,
고바이오랩,2020-11-18,코스닥,"대신증권(주),삼성증권(주)",기술특례(성장성),기술평가특례,"당사는 기술성장기업으로 매출액 요건의 경우 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도(상장일로부터 상장일이 속한 사업연도의 말일까지 기간이 3월미만인 경우에 는 그 다음 사업연도), 세전 이익 요건의 경우 신규상장일이 속하는 사업연도를 포함한 연속하는 3개 사업연도(상장일로부터 상장일이 속한 사업연도의 말일까지의 기간이 3월미만인 경우에는"
티앤엘,2020-11-20,코스닥,한국투자증권(주),일반,일반,
에이플러스에셋,2020-11-20,유가증권,"엔에이치투자증권(주),IBK투자증권(주)",일반,일반,
하나기술,2020-11-25,코스닥,하나증권주식회사,일반,일반,
제일전기공업,2020-11-26,코스닥,하나증권주식회사,일반,일반,
앱코,2020-12-02,코스닥,미래에셋증권 주식회사,일반,일반,
엔에프씨,2020-12-02,코스닥,삼성증권(주),일반,일반,
포인트모바일,2020-12-03,코스닥,하나증권주식회사,일반,일반,
클리노믹스,2020-12-04,코스닥,대신증권(주),기술특례(성장성),기술평가특례,당사는 코스닥시장 상장요건 중 기술성장기업 중 ‘성장성추천’ 적용 기업으로 상장예비심사 승인을 득
명신산업,2020-12-07,유가증권,"미래에셋증권 주식회사,현대차증권주식회사",일반,일반,
퀀타매트릭스,2020-12-09,코스닥,미래에셋증권 주식회사,기술특례,기술평가특례,"Susceptibility test (신속 항균제 감수성 검사) 개시(진료코드 발급) 2019.12 코스닥시장 상장을 위한 기술평가등급 “A” 획득 (기술보증기금, 한국기업데이터) 3. 자본금 변동사항 &cr; 가. 자본금 변동현황 &cr; (기준일 : 증권신"
엔젠바이오,2020-12-10,코스닥,삼성증권(주),기술특례,기술평가특례,"당사는 『코스닥시장 상장규정』제7조 제2항에 의하여 상장되는 기술성장기업으로 동 규정 제28조(관리종목) 제1항 제2호 및 제3호, 제38조(상장의 폐지) 제1항 제4호 및 제4의2호에 따라 관리종목 지정과 상장폐지 요건 중 매출액 요건은 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도, 법인세비용차감전계속사업손실 요건은 신규상장일이 속하는 사"
인바이오,2020-12-11,코스닥,한국투자증권(주),일반,일반,
씨엔티드림,2020-12-11,코스닥,엔에이치투자증권(주),(NULL),(문서없음),
티엘비,2020-12-14,코스닥,DB증권주식회사,일반,일반,
에프앤가이드,2020-12-17,코스닥,,일반,일반,
알체라,2020-12-21,코스닥,신영증권(주),기술특례(성장성),성장성/사업모델,당사는 코스닥시장 상장요건 중 상장주선인이 성장성을 평가하여 추천한 중소기업에 해당하는
프리시젼바이오,2020-12-22,코스닥,한국투자증권(주),기술특례,기술평가특례,"당사는 코스닥시장 상장요건 중 전문평가기관의 기술 등에 대한 평가를 받아 A등급 이상을 취득하여 기술력과 성장성이 인정되는 기업인 기술성장기업(기술 특례상장)으로서, 2020년 10월 26일 상장예비심사 승인을 득"
석경에이티,2020-12-23,코스닥,한국투자증권(주),기술특례,기술평가특례,시장규모 및 성장잠재력과 기술제품의 경쟁력을 감안 시 전반적인 시장성은 보통 수준인 것으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 높은 수준의 기술력을 가진 기업으로 장래 환경변화에 크게 영향을 받지 않을 수준인 A로 의견 제시함. 기술보증기금 BBB
지놈앤컴퍼니,2020-12-23,코스닥,,기술특례,기술평가특례,"시장규모 및 성장잠재력과 기술제품의 경쟁력 감안 시 전반적인 시장성은 양호한 수준인 것으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 장래 환경변화에 다소 영향을 받을 수는 있으나 우수한 기술력을 보유한 BBB 수준으로 의견 제시함. &cr;한편, 상장예비"
루트락,2020-12-24,코스닥,신한투자증권(주),(NULL),(문서없음),
에이스캠퍼,2020-12-29,코스닥,해당없음,(NULL),(문서없음),
나우코스,2020-12-30,코스닥,한화투자증권(주),(NULL),(문서없음),
엔비티,2021-01-21,코스닥,미래에셋증권 주식회사,기술특례,성장성/사업모델,"해서는 외부 전문평가기관(2개 기관)으로부터 사전에 사업모델평가를 받아야하며, 당사는 이크레더블과 나이스디앤비로부터 'KRX 사업평가등급 A, A'를 득하였습니다. 상장예비심사를 청구하는 기업의 유형별 외형요건은 아래와 같이 일부 차이가 존재합니다.&cr; ["
선진뷰티사이언스,2021-01-27,코스닥,"신한투자증권 주식회사,삼성증권(주)",일반,일반,
모비릭스,2021-01-28,코스닥,한국투자증권(주),일반,일반,
씨앤투스성진,2021-01-28,코스닥,미래에셋증권 주식회사,이익미실현,이익미실현,"조 제1항 제6호의 경영성과 및 시장평가 등 요건 중 가.목의 수익성 또는 매출액 관련 요건을 충족하지 못하였으며, 이에 따라 나.목의 시장평가 또는 성장성 충족(이익미실현기업의 상장)에 관한 요건을 적용받아 금번 공모를 진행하고 있습니다. 당사는 기준시가총액(공모가에 상장예정주식수를 곱한 금액)이 300억원에 미달(확정공모가액"
핑거,2021-01-29,코스닥,대신증권(주),일반,일반,
솔루엠,2021-02-02,유가증권,"미래에셋증권 주식회사,KB증권(주)",일반,일반,
레인보우로보틱스,2021-02-03,코스닥,"대신증권(주),미래에셋증권 주식회사",기술특례(성장성),기술평가특례,모 및 성장잠재력 과 기술제품의 경쟁력을 감안 시 전반적인 시장성은 보통 이상 수준인 것으로 평가됨. 이에 따라 동사의 최종 기술평가등급은 높은 수준의 기술력을 가진 기업으로 장래 환경변화에 크게 영향을 받지 않을 수준인 A로 의견 제시함. 한국생산기술연구원 A
와이더플래닛,2021-02-03,코스닥,한국투자증권(주),기술특례,성장성/사업모델,"서는 외부 전문평가기관(2개 기관)으로부터 사전에 사업모델평가를 받아야하며, 당사는 이크레더블과 한국기업데이터로부터 'KRX 사업평가등급 A, A'를 득하였습니다. &cr; [ 전문평가기관의 종합의견 ] 구 분 평가등급 종 합 의 견 이크레더블 A ■ ㈜와이더플"
아이퀘스트,2021-02-05,코스닥,미래에셋증권 주식회사,일반,일반,
피비파마,2021-02-05,유가증권,,일반,(문서없음),
피엔에이치테크,2021-02-16,코스닥,,기술특례,기술평가특례,"2 공통층재료 상용화 진행 2015.07 특허재료(정공수송층) 양산시작 2015.10 진천 공장 완공 및 가동 2015.11 기술평가등급 2곳 모두 ""A""획득(한국기업데어타 & 기술보증기금) 2016.04 기관투자유치- 아주 IB외 3개기관 (31.8억원) 20"
오로스테크놀로지,2021-02-24,코스닥,키움증권(주),일반,기술평가특례,"규모 확충 및 글로벌화 역량 확보를 위한 노력이 필요&cr;&cr;- 상기의 평가결과를 종합하여 볼 때, ㈜오로스테크놀로지의 기술평가 등급은 높은 수준의 기술력을 가진 기업인 ""A"" 로 평가됨 나. 희망공모가 산정방식의 한계에 따른 위험 &cr; &cr;당사의 희"
씨이랩,2021-02-24,코스닥,,기술특례,기술평가특례,"당사는 코스닥시장 상장요건 중 전문평가기관의 기술 등에 대한 평가를 받아 A등급 이상을 취득하여 기술력과 성장성이 인정되는 기업인 기술성장기업(기술 특례상장)으로서, 2020년 11월 26일 상장예비심사 승인을 득"
유일에너테크,2021-02-25,코스닥,신영증권(주),일반,일반,
뷰노,2021-02-26,코스닥,"미래에셋증권 주식회사,삼성증권(주)",기술특례,기술평가특례,"며 국내외에서 매출이 발생하고 있다는 점, 그리고 의료 정보 관련 시장이 성장기에 있는 가능성이 큰 시장인 점 등을 감안하여 기술평가등급을 A로 평가함. 나이스디앤비 A 주식회사 뷰노 이하 동사 는 201 4 년 12 월 설립된 외감 중 소기업으로 응용 소프 트"
나노씨엠에스,2021-03-09,코스닥,키움증권(주),기술특례,기술평가특례,"면서, 우수한 기술력을 바탕으로 해외 적용시장 확대를 위해 적극적인 영업을 수행하고 있는 점을 고려하여 종합적으로 판단할 때 기술평가등급은 [A]로 평가됨 &cr;한편, 상장예비심사를 청구하는 기업의 유형별 외형요건은 아래와 같이 일부 차이가 존재합니다.&cr;"
