회사명,상장일,시장구분,트랙,판정근거,기존DB분류,대표주관회사,산업분류,확정공모가,공모금액_억원,시가총액_억원,기관경쟁률,확약비율,수익률_1M,수익률_6M,수익률_1Y
고바이오랩,2020-11-18,코스닥,기술평가특례,body,기술특례(성장성),"대신증권(주),삼성증권(주)",바이오/헬스케어,15000,300.0,2531.5,64.33,0.03,162.0,124.3,64.3
클리노믹스,2020-12-04,코스닥,기술평가특례,body,기술특례(성장성),대신증권(주),바이오/헬스케어,13900,274.15,1926.17,494.2,2.05,30.9,11.9,-15.8
퀀타매트릭스,2020-12-09,코스닥,기술평가특례,body,기술특례,미래에셋증권 주식회사,바이오/헬스케어,25500,435.29,61627.64,185.56,4.6,3.9,-47.5,-57.5
엔젠바이오,2020-12-10,코스닥,기술평가특례,body,기술특례,삼성증권(주),바이오/헬스케어,14000,342.16,1910.35,1006.96,3.33,90.4,42.9,5.0
알체라,2020-12-21,코스닥,성장성/사업모델,body,기술특례(성장성),신영증권(주),IT/소프트웨어,10000,200.0,4000.0,1315.61,3.88,234.5,219.0,227.0
프리시젼바이오,2020-12-22,코스닥,기술평가특례,body,기술특례,한국투자증권(주),바이오/헬스케어,12500,187.5,1441.0,1231.23,1.62,108.4,28.0,-4.8
지놈앤컴퍼니,2020-12-23,코스닥,기술평가특례,body,기술특례,,바이오/헬스케어,,,,,,,,
석경에이티,2020-12-23,코스닥,기술평가특례,body,기술특례,한국투자증권(주),화학/소재,10000,100.0,545.5,1390.29,6.68,218.5,102.0,94.5
엔비티,2021-01-21,코스닥,성장성/사업모델,body,기술특례,미래에셋증권 주식회사,기타,19000,158.08,1098.2,1425.3,10.7,23.9,40.8,44.5
씨앤투스성진,2021-01-28,코스닥,이익미실현,body,이익미실현,미래에셋증권 주식회사,소비재/유통,32000,512.0,5120.0,1010.02,1.7,-36.1,-35.8,-35.2
레인보우로보틱스,2021-02-03,코스닥,기술평가특례,body,기술특례(성장성),"대신증권(주),미래에셋증권 주식회사",기계/장비,10000,265.0,1855.0,1489.9,19.9,135.5,119.5,139.0
와이더플래닛,2021-02-03,코스닥,성장성/사업모델,body,기술특례,한국투자증권(주),IT/소프트웨어,16000,160.0,829.23,1449.22,9.59,53.1,59.4,7.2
피엔에이치테크,2021-02-16,코스닥,기술평가특례,body,기술특례,,화학/소재,,,,,,,,
오로스테크놀로지,2021-02-24,코스닥,기술평가특례,body,일반,키움증권(주),반도체/디스플레이,21000,399.0,3990.0,1260.0,37.12,136.0,50.7,16.2
씨이랩,2021-02-24,코스닥,기술평가특례,body,기술특례,,IT/소프트웨어,35000,227.5,2275.0,1371.37,12.97,12.3,299.7,31.7
뷰노,2021-02-26,코스닥,기술평가특례,body,기술특례,"미래에셋증권 주식회사,삼성증권(주)",바이오/헬스케어,21000,378.0,3780.0,1457.21,23.8,27.9,14.3,-52.5
나노씨엠에스,2021-03-09,코스닥,기술평가특례,body,기술특례,키움증권(주),화학/소재,20000,160.0,841.78,1295.75,6.65,-9.0,152.5,125.5
프레스티지바이오로직스,2021-03-11,코스닥,성장성/사업모델,body,기술특례(성장성),"미래에셋증권 주식회사,유안타증권(주)",바이오/헬스케어,12400,911.4,9114.0,369.91,6.5,4.0,18.1,-41.2
네오이뮨텍,2021-03-16,코스닥,기술평가특례,body,기술특례,,바이오/헬스케어,7500,1125.0,8100.0,1374.09,25.54,58.0,27.2,-6.5
바이오다인,2021-03-17,코스닥,이익미실현,body,이익미실현,대신증권(주),바이오/헬스케어,30000,300.0,3000.0,1364.85,8.8,90.3,40.3,-3.7
라이프시맨틱스,2021-03-23,코스닥,성장성/사업모델,body,기술특례,한국투자증권(주),IT/소프트웨어,12500,125.0,1276.67,1402.17,3.78,7.2,-6.4,-33.7
자이언트스텝,2021-03-24,코스닥,성장성/사업모델,body,기술특례,한국투자증권(주),엔터/미디어/게임,11000,154.0,1297.0,1691.65,24.42,351.8,614.6,721.8
제노코,2021-03-24,코스닥,기술평가특례,body,기술특례,DB증권주식회사,방산/우주항공,36000,176.4,1764.0,1452.49,22.15,55.6,79.7,115.7
해성티피씨,2021-04-21,코스닥,기술평가특례,body,기술특례,한국투자증권(주),화학/소재,13000,130.0,614.9,1508.95,16.05,60.0,60.0,31.5
