회사명,상장일,시장구분,DB분류,growth,bizmodel,tech,noprofit,문서
오백볼트,2016-12-28,코스닥,(NULL),0,0,0,0,
에스앤디,2016-12-29,코넥스,(NULL),0,0,5,1,20210910000093.xml
케미메디,2017-01-13,코스닥,(NULL),0,0,0,0,
비디아이,2017-01-16,코넥스,(NULL),0,0,2,0,20171020000001.xml
유바이오로직스,2017-01-24,코스닥,기술특례,0,0,18,0,20170112000089.xml
서플러스글로벌,2017-01-25,코스닥,일반,0,0,0,0,20161004000010.xml
호전실업,2017-02-02,유가증권,일반,0,0,0,0,20170118000323.xml
피씨엘,2017-02-23,코스닥,기술특례,0,0,6,0,20161213000091.xml
모바일어플라이언스,2017-02-24,코스닥,일반,0,0,5,0,20170215000070.xml
에프엔에스테크,2017-02-27,코스닥,일반,0,0,1,0,20170214000335.xml
신신제약,2017-02-28,코스닥,일반,0,0,3,0,20170214000585.xml
에스디생명공학,2017-03-02,코스닥,일반,0,0,3,0,20170217000346.xml
덴티움,2017-03-15,유가증권,일반,0,0,0,0,20170302000291.xml
아스타,2017-03-20,코스닥,기술특례,0,0,13,0,20170308000203.xml
코미코,2017-03-23,코스닥,일반,0,0,1,0,20170310000356.xml
서진시스템,2017-03-27,코스닥,일반,0,0,3,0,20170315000227.xml
이엘피,2017-04-06,코스닥,일반,0,0,0,0,20161202000014.xml
플렉스파워에이더블유에스,2017-04-24,코스닥,(NULL),0,0,0,0,
엠앤씨생명과학,2017-04-25,코스닥,(NULL),0,0,0,0,
와이엠티,2017-04-27,코스닥,일반,0,0,23,0,20170414001551.xml
하나머티리얼즈,2017-04-28,코스닥,일반,0,0,4,0,20170414001465.xml
앙츠,2017-04-28,코스닥,(NULL),0,0,0,0,
에스와이제이,2017-05-02,코스닥,(NULL),0,0,0,0,
아이엔지생명,2017-05-11,유가증권,일반,0,0,2,0,20170424000341.xml
넷마블게임즈,2017-05-12,유가증권,일반,0,0,2,0,20170424000109.xml
SGA임베디드,2017-05-23,코넥스,(NULL),0,0,2,0,20180122000271.xml
필옵틱스,2017-06-01,코스닥,일반,0,0,1,0,20170522000087.xml
삼양옵틱스,2017-06-02,코스닥,일반,0,0,2,0,20151123000025.xml
보라티알,2017-06-08,코스닥,일반,0,0,3,0,20170526000344.xml
뿌리깊은나무들,2017-06-09,코스닥,(NULL),0,0,0,0,
에스알바이오텍,2017-06-15,코스닥,(NULL),0,0,0,0,
다이오진,2017-06-19,코스닥,(NULL),0,0,0,0,
메디안디노스틱,2017-06-26,코스닥,(NULL),0,0,0,0,
주노콜렉션,2017-06-27,코스닥,(NULL),0,0,0,0,
극동자동화,2017-06-28,코스닥,(NULL),0,0,0,0,
제일홀딩스,2017-06-30,코스닥,일반,0,0,1,0,20170615000297.xml
알로이스,2017-07-07,코넥스,(NULL),0,0,0,0,20180709000037.xml
카카오,2017-07-10,유가증권,일반,0,0,0,0,20151204000005.xml
아우딘퓨쳐스,2017-07-12,코스닥,일반,0,0,1,0,20170630000057.xml
브이원텍,2017-07-13,코스닥,일반,0,0,2,0,20170629000314.xml
힘스,2017-07-20,코스닥,일반,0,0,4,0,20170707000208.xml
에브리봇,2017-07-24,코넥스,(NULL),0,0,5,7,20210716000185.xml
루켄테크놀러지스,2017-07-25,코스닥,(NULL),0,0,0,0,
이즈미디어,2017-07-26,코스닥,일반,0,0,0,0,20170714000216.xml
셀트리온헬스케어,2017-07-28,코스닥,일반,0,0,2,0,20170717000343.xml
